RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         2660     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     4.986D-01  9.689D+00
    1    2     1     0  ---    0  4.0D-01  1.0D+00  4.080D-01  7.450D+00
    2    3     0     0  con    0  1.0D+00  4.8D+00  9.606D-02  3.481D+00
    3    4     0     0  con    0  1.0D+00  8.0D-01  6.552D-02  3.254D+00
    4    5     0     0  con    0  1.0D+00  3.8D+00  1.915D-01  2.829D+00
    5    6     0     0  con    0  1.0D+00  2.1D+00  4.419D-02  2.543D+00
    6    7     0     0  con    0  1.0D+00  1.7D+00  4.013D-02  2.405D+00
    7    8     0     0  con    0  1.0D+00  4.8D+00  7.003D-02  2.238D+00
    8    9     0     0  con    0  1.0D+00  2.6D+00  5.697D-02  2.057D+00
    9   10     0     0  con    0  1.0D+00  2.1D+00  4.499D-02  1.865D+00
   10   11     0     0  con    0  1.0D+00  2.1D+00  3.498D-02  1.709D+00
   11   12     0     0  con    0  1.0D+00  4.7D+00  4.198D-02  1.464D+00
   12   13     0     0  con    0  1.0D+00  4.5D+00  5.239D-02  1.259D+00
   13   14     0     0  con    0  1.0D+00  4.8D+00  2.602D-02  1.070D+00
   14   15     0     0  con    0  1.0D+00  6.9D+00  2.286D-02  9.472D-01
   15   16     0     0  con    0  1.0D+00  2.9D+00  3.203D-02  8.819D-01
   16   17     0     0  con    0  1.0D+00  2.0D+00  2.720D-02  8.020D-01
   17   18     0     0  con    0  1.0D+00  6.5D+00  2.720D-02  7.567D-01
   18   19     0     0  con    0  1.0D+00  1.3D+00  2.506D-02  6.781D-01
   19   20     0     0  con    0  1.0D+00  2.7D+00  1.238D-02  6.280D-01
   20   21     0     0  con    0  1.0D+00  2.7D+00  1.295D-02  5.931D-01
   21   23     0     0  con    1  3.2D-01  6.6D+00  1.808D-02  5.523D-01
   22   24     0     0  con    0  1.0D+00  4.8D+00  1.341D-02  5.164D-01
   23   25     0     0  con    0  1.0D+00  1.3D+00  1.064D-02  4.866D-01
   24   26     0     0  con    0  1.0D+00  1.2D+00  8.613D-03  4.555D-01
   25   27     0     0  con    0  1.0D+00  5.2D+00  9.978D-03  4.215D-01
   26   28     0     0  con    0  1.0D+00  1.4D+00  1.387D-02  4.064D-01
   27   29     0     0  con    0  1.0D+00  1.7D+00  8.629D-03  3.922D-01
   28   30     0     0  con    0  1.0D+00  3.3D+00  6.869D-03  3.740D-01
   29   31     0     0  con    0  1.0D+00  6.2D+00  5.156D-03  3.519D-01
   30   32     0     0  con    0  1.0D+00  1.3D+01  9.453D-03  3.258D-01
   31   33     0     0  con    0  1.0D+00  9.8D+00  1.342D-02  3.092D-01
   32   34     0     0  con    0  1.0D+00  1.4D+00  7.084D-03  3.001D-01
   33   35     0     0  con    0  1.0D+00  2.3D+00  8.077D-03  2.919D-01
   34   36     0     0  con    0  1.0D+00  2.6D+00  8.326D-03  2.860D-01
   35   37     0     0  con    0  1.0D+00  1.1D+00  7.640D-03  2.810D-01
   36   38     0     0  con    0  1.0D+00  8.7D+00  8.812D-03  2.669D-01
   37   39     0     0  con    0  1.0D+00  1.0D+01  6.129D-03  2.452D-01
   38   40     0     0  con    0  1.0D+00  3.0D+00  5.551D-03  2.377D-01
   39   41     0     0  con    0  1.0D+00  4.3D+00  5.359D-03  2.281D-01
   40   43     0     0  con    1  4.9D-01  2.1D+00  5.373D-03  2.218D-01
   41   44     0     0  con    0  1.0D+00  4.8D+00  6.173D-03  2.115D-01
   42   45     0     0  con    0  1.0D+00  3.8D+00  7.596D-03  2.032D-01
   43   46     0     0  con    0  1.0D+00  4.6D+00  3.969D-03  1.959D-01
   44   47     0     0  con    0  1.0D+00  1.4D+00  3.416D-03  1.932D-01
   45   48     0     0  con    0  1.0D+00  2.3D+00  2.953D-03  1.912D-01
   46   50     0     0  con    1  6.7D-02  1.8D+00  2.956D-03  1.901D-01
   47   51     0     0  con    0  1.0D+00  1.1D+00  2.679D-03  1.893D-01
   48   53     0     0  con    1  4.9D-01  4.4D+00  2.564D-03  1.871D-01
   49   54     0     0  con    0  1.0D+00  9.0D+00  2.763D-03  1.847D-01
   50   55     0     0  con    0  1.0D+00  2.0D+00  2.548D-03  1.833D-01
   51   56     0     0  con    0  1.0D+00  1.7D+00  2.084D-03  1.816D-01
   52   57     0     0  con    0  1.0D+00  2.1D+00  1.935D-03  1.792D-01
   53   58     0     0  con    0  1.0D+00  2.7D+00  3.212D-03  1.780D-01
   54   59     0     0  con    0  1.0D+00  2.4D+00  2.489D-03  1.769D-01
   55   60     0     0  con    0  1.0D+00  2.8D+00  2.358D-03  1.763D-01
   56   61     0     0  con    0  1.0D+00  1.7D+00  2.331D-03  1.758D-01
   57   62     0     0  con    0  1.0D+00  4.1D+00  3.195D-03  1.743D-01
   58   63     0     0  con    0  1.0D+00  7.5D+00  3.283D-03  1.714D-01
